task,group,job_id,state,host,wall_seconds,allocated_memory_mib,gap_workspace_limit_mib,gnu_time_max_rss_kib,kernel_max_rss_kib,sampled_tree_peak_rss_kib,cgroup_peak_bytes
table3-C2-row1,table3-C2,390595,computed,phoenix4,5.599,1024,870,206740,,155024,
SG001-zero,SG001,390744,computed,phoenix4,9.985,1024,870,,207580,334432,
table3-C2-row12,table3-C2,390597,computed,phoenix10,3.53,1024,870,205944,,145112,
SG001-w2_plus_w1_squared,SG001,390598,computed,phoenix13.lptmc.jussieu.fr,6.433,1024,870,205952,,335332,
table3-C2-row19,table3-C2,390745,computed,phoenix7.lptmc.jussieu.fr,3.987,1024,870,,205932,143200,
SG002-zero,SG002,390600,computed,phoenix4,13.894,1024,870,207644,,336420,
table3-C2-row20,table3-C2,390746,computed,phoenix13.lptmc.jussieu.fr,3.024,1024,870,,207124,149804,
SG002-w2_plus_w1_squared,SG002,390602,computed,phoenix10,8.424,1024,870,207036,,319504,
table3-C2xC2-row4,table3-C2xC2,390747,computed,phoenix7.lptmc.jussieu.fr,3.174,1024,870,,205956,150516,
SG003-zero,SG003,390604,computed,phoenix13.lptmc.jussieu.fr,6.572,1024,870,207008,,324548,
table3-C2xC2-row13,table3-C2xC2,390748,computed,phoenix13.lptmc.jussieu.fr,2.52,1024,870,,206036,185564,
SG003-w2_plus_w1_squared,SG003,390749,computed,phoenix7.lptmc.jussieu.fr,24.061,1024,870,,206992,328632,
table3-C2xC2-row21,table3-C2xC2,390607,computed,phoenix10,2.471,1024,870,206968,,186000,
SG004-zero,SG004,390608,computed,phoenix13.lptmc.jussieu.fr,6.531,1024,870,207020,,325844,
table3-C2xC2xC2-row9,table3-C2xC2xC2,390750,computed,phoenix13.lptmc.jussieu.fr,3.119,1024,870,,207008,185592,
SG004-w2_plus_w1_squared,SG004,390751,computed,phoenix4,11.643,1024,870,,207628,329860,
table3-C2xC2xC2-row16,table3-C2xC2xC2,390611,computed,phoenix10,3.176,1024,870,207044,,184380,
SG005-zero,SG005,390612,computed,phoenix4,13.144,1024,870,207676,,333616,
table3-C2xC2xC4-row10,table3-C2xC2xC4,390752,computed,phoenix13.lptmc.jussieu.fr,4.821,1024,870,,206012,207608,
SG005-w2_plus_w1_squared,SG005,390614,computed,phoenix13.lptmc.jussieu.fr,22.851,1024,870,220368,,337068,
table3-C2xC2xC4-row17,table3-C2xC2xC4,390753,computed,phoenix13.lptmc.jussieu.fr,4.115,1024,870,,206984,207636,
SG006-zero,SG006,390616,computed,phoenix10,7.026,1024,870,206996,,273840,
table3-C2xC4-row5,table3-C2xC4,390754,computed,phoenix10,3.477,1024,870,,207148,145116,
SG006-w2_plus_w1_squared,SG006,390755,computed,phoenix4,68.078,1024,870,,211372,336500,
table3-C2xC4-row14,table3-C2xC4,390756,computed,phoenix13.lptmc.jussieu.fr,2.524,1024,870,,206040,185500,
SG007-zero,SG007,390620,computed,phoenix10,6.278,1024,870,207020,,281048,
table3-C2xC4-row15,table3-C2xC4,390621,computed,phoenix4,4.48,1024,870,206876,,209164,
SG007-w2_plus_w1_squared,SG007,390757,computed,phoenix10,6.48,1024,870,,205988,330572,
table3-C2xC4xC4-row11,table3-C2xC4xC4,390758,computed,phoenix13.lptmc.jussieu.fr,8.676,1024,870,,206008,207596,
SG008-zero,SG008,390759,computed,phoenix7.lptmc.jussieu.fr,8.785,1024,870,,206040,323640,
table3-C2xC4xC4-row18,table3-C2xC4xC4,390625,computed,phoenix10,5.781,1024,870,207064,,209448,
SG008-w2_plus_w1_squared,SG008,390626,computed,phoenix4,79.549,1024,870,227544,,336600,
table3-C2xC8-row6,table3-C2xC8,390760,computed,phoenix10,3.426,1024,870,,207072,182612,
SG009-zero,SG009,390761,computed,phoenix13.lptmc.jussieu.fr,6.529,1024,870,,206040,326112,
table3-C3-row2,table3-C3,390629,computed,phoenix13.lptmc.jussieu.fr,2.367,1024,870,206020,,187332,
SG009-w2_plus_w1_squared,SG009,390762,computed,phoenix10,7.231,1024,870,,206936,276244,
table3-C4-row3,table3-C4,390631,computed,phoenix10,2.469,1024,870,206004,,183680,
SG010-zero,SG010,390632,computed,phoenix13.lptmc.jussieu.fr,32.698,1024,870,267488,,327180,
table3-C4-row12,table3-C4,390763,computed,phoenix7.lptmc.jussieu.fr,2.821,1024,870,,206068,152584,
SG010-w2_plus_w1_squared,SG010,390634,computed,phoenix10,168.485,1024,870,271552,,525720,
table3-C4xC4-row7,table3-C4xC4,390764,computed,phoenix13.lptmc.jussieu.fr,3.028,1024,870,,207032,185568,
