space_group,layer,computed_E6,paper
1,kitaev,(Z/2)^3,0
1,complex,Z/2,(Z/2)^3
1,bosonic,0,Z/2
7,p_ip,Z + Z/2,Z
9,p_ip,Z + Z/2,Z
17,kitaev,(Z/2)^3,Z/2
27,p_ip,Z/2,0
29,p_ip,Z/2,0
30,p_ip,Z/2,0
32,p_ip,Z/2,0
33,p_ip,Z/2,0
34,p_ip,Z/2,0
37,p_ip,Z/2,0
41,p_ip,Z/2,0
43,p_ip,Z/2,0
45,p_ip,Z/2,0
75,complex,(Z/2)^3,(Z/2)^2
103,p_ip,Z/2,0
104,p_ip,Z/2,0
106,p_ip,Z/2,0
110,p_ip,Z/2,0
112,p_ip,Z/2,0
114,p_ip,Z/2,0
116,p_ip,Z/2,0
117,p_ip,Z/2,0
118,p_ip,Z/2,0
120,p_ip,Z/2,0
122,p_ip,Z/2,0
158,p_ip,Z/2,0
159,p_ip,Z/2,0
159,bosonic,Z/3,Z/2
161,p_ip,Z/2,0
176,kitaev,0,(Z/2)^2
176,complex,(Z/2)^2,0
184,p_ip,Z/2,0
218,p_ip,Z/2,0
219,p_ip,Z/2,0
220,p_ip,Z/2,0
